pattern,category,count_sim,slope_proxy,cat_id,cluster
spring.beans.unsatisfied-dependency,config/runtime,6,4.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,7,5.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,3,1.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,7,5.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,6,4.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,6,4.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,0,-2.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,4,2.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,9,7.0,2,2
spring.beans.unsatisfied-dependency,config/runtime,3,1.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,3,1.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,3,1.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,6,4.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,3,1.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,6,4.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,0,-2.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,6,4.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,0,-2.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,0,-2.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,2,0.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,3,1.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,3,1.0,2,1
spring.beans.unsatisfied-dependency,config/runtime,1,-1.0,2,0
spring.beans.unsatisfied-dependency,config/runtime,3,1.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,1,-3.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,3,-1.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,3,-1.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,4,0.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,4,0.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,2,-2.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,6,2.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,6,2.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,6,2.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,14,10.0,2,2
config.value.invalid-boolean.probe.search.enabled,config/runtime,5,1.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,1,-3.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,3,-1.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,3,-1.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,4,0.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,7,3.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,0,-4.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,4,0.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,3,-1.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,2,-2.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,4,0.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,1,-3.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,5,1.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,3,-1.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,3,-1.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,5,1.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,8,4.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,5,1.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,6,2.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,12,8.0,2,2
config.value.invalid-boolean.probe.search.enabled,config/runtime,7,3.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,7,3.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,3,-1.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,2,-2.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,15,11.0,2,2
config.value.invalid-boolean.probe.search.enabled,config/runtime,3,-1.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,4,0.0,2,1
config.value.invalid-boolean.probe.search.enabled,config/runtime,2,-2.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,2,-2.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,17,13.0,2,2
config.value.invalid-boolean.probe.search.enabled,config/runtime,3,-1.0,2,0
config.value.invalid-boolean.probe.search.enabled,config/runtime,5,1.0,2,1
